PRODUTO_DESCRICAO,PRECO_PESQUISADO,ESTABELECIMENTO_REDE
FORMULA INFANTIL - 1 SEMESTRE APTAMIL 1,28.9,AGRICER
FORMULA INFANTIL 2 SEMESTRE APTAMIL 2,24.89,CONDOR
CHOCOTTONE AVELA/TRUFA/MOUSE `BAUDUCO`,24.89,CONDOR
Carne Bov. Picanha,23.98,AGRICER
"PANETONE C/FRUTAS ""PANCO""",21.98,AGRICER
Carne Bov. S/Osso File Mignon,21.98,AGRICER
FORMULA INFANTIL 2 SEMESTRE NESTOGENO 2,19.98,AGRICER
FORMULA INFANTIL 1 SEMESTRE NESTOGENO 1,19.9,AGRICER
"CHOCOTTONE MAXI ""BAUDUCCO""",19.9,AGRICER
CARNE BOV. S/OSSO ALCATRA COM MAMINHA,18.79,AGRICER
Carne Bov. S/Osso Alcatra   ( Pedaço ),18.79,AGRICER
Carne Bov. S/ Osso Contra File,17.9,AGRICER
Queijo Prato -  Peca   ( + Barato ),17.39,AGRICER
Carne Bov. S/Osso Coxao Mole ( Pedaço ),16.9,AGRICER
Carne Bov. S/Osso Patinho  ( Pedaço ),16.75,AGRICER
"PANETONE C/GOTAS DE CHOCOLATE ""PANCO""",16.75,AGRICER
Carne Bov. S/Osso Posta Branca  (Pedaço),16.45,AGRICER
"PANETONE BRIGADEIRO ""PANCO""",16.45,AGRICER
Carne Bov. S/Osso Posta Vermelha Pedaço,15.97,AGRICER
"PANETONE TRUFADO ""PANCO""",15.97,AGRICER
"Arroz Branco Tipo 1  ""Prato Fino""",15.9,AGRICER
PAPEL HIG. FOLHA DUPLA PICOTADA +BARATO,15.25,AGRICER
"Arroz Parboilizado Tipo 1  ""Prato Fino""",14.98,AGRICER
CARNE BOV. S/OSSO  FRALDINHA,14.95,AGRICER
Queijo Mussarela  -  Peca  ( + Barato ),14.5,AGRICER
"Arroz Parboilizado Tipo 1  ""Tio Joao""",13.98,AGRICER
CORACAO DE GALINHA        ( RESFRIADO ),13.9,AGRICER
Carne Bov. Moida  de 1a  ( + Barato ),13.9,AGRICER
"PANETTONE CHOCOLATE ZERO ""LOWCUCAR""",13.9,AGRICER
PAPEL HIG. FOLHA DUPLA PICOTADA,12.99,AGRICER
"PANETONE C/FRUTAS ZERO ""SANTA EDWIGES""",12.98,AGRICER
CHARQUE DIANTEIRO BOVINO + BARATO,12.98,AGRICER
Presunto Fatiado        (+ Barato ),12.9,AGRICER
"Bacon Suino ""Alto Vacuo""",12.9,AGRICER
"PANETONE BRIG/TRUF/DLEITE""SANTA EDWIGES""",12.9,AGRICER
Carne Bov. C/Osso Contra File,12.9,AGRICER
AZEITE OLIVA EXTRA VIRGEM (+ BARATO) 0.5,12.25,AGRICER
"Arroz Branco Tipo 1  ""Buriti""",12.23,AGRICER
"Arroz Branco Tipo 1  ""Tio Urbano""",11.99,AGRICER
"Cera em Pasta ""Canario """,11.8,AGRICER
ARROZ PARBOILIZADO TIPO 1   DALFOVO,11.79,AGRICER
"Geleia de Frutas ""Ritter""",11.5,AGRICER
"Geleia de Frutas Diet ""Ritter""",10.9,AGRICER
"Arroz Branco Tipo 1  ""Tio Joao""",10.8,AGRICER
"Arroz Parboilizado Tipo 1  ""Urbano""",10.68,AGRICER
"Geleia de Frutas ""Vega""",10.25,AGRICER
Linguica Calabresa (+ barato),9.99,AGRICER
"PANETONE ""TOMMY"" c/ FRUTAS",9.99,AGRICER
"PANETTONE S/GLUTEN ""JASMINE""",9.98,AGRICER
"Arroz Parboilizado Tipo 1  ""Buriti""",9.98,AGRICER
Apresuntado  Fatiado  ( + Barato ),9.98,AGRICER
"Acucar Refinado ""Uniao""",9.98,AGRICER
"Carne Bov. Costela ""Ripa""",9.95,AGRICER
"Carne Bov. Costela ""Ponta""",9.95,AGRICER
Carne Bov. C/ Osso Musculo,9.9,AGRICER
"Amaciante de Roupa ""Confort""",9.9,AGRICER
Uva Italia,9.9,AGRICER
"Leite em Po ""Ninho"" Instant.Tradicional",9.89,AGRICER
"PANETONE ""TOMMY"" c/ GOTAS de CHOCOLATE",8.98,AGRICER
"Linguica Toscana  ""Frimesa/Batavo""",8.98,AGRICER
"Detergente em Po ""Omo"" Multi-Acao",8.95,AGRICER
"PANETTONE C/ FRUTAS ""PARATI""",8.9,AGRICER
Linguica Toscana  ( + Barato ),8.9,AGRICER
Arroz Branco Tipo 1   ( + Barato ),8.78,AGRICER
Arroz Parboilizado Tipo 1  ( + Barato ),8.49,AGRICER
"Cafe  Vacuo ""Melita""",8.27,AGRICER
"PANETTONE ALPINO CREMOSO ""NESTLE""",8.27,AGRICER
"Cera Liquida ""Poliflor""",8.09,AGRICER
"PANETTONE C/FRUTAS ZERO ""LOWCUCAR""",7.99,AGRICER
Frango em Pedaço Asa  ( Resfriado ),7.99,AGRICER
DETERGENTE LIQUIDO OMO,7.98,AGRICER
Papel Hig. Folha Picotada   ( + Barato ),7.98,AGRICER
"PANETONE ""NINO""  GOTAS DE CHOCOLATE",7.98,AGRICER
Carne Suina Fresca Pernil,7.98,AGRICER
"PANETONE C/GOTAS ZERO ""SANTA EDWIGES""",7.89,AGRICER
Azeitonas Verde   ( + Barato ),7.89,AGRICER
Banha      ( + Barato ),7.89,AGRICER
ACUCAR REFINADO  ALTO ALEGRE,7.89,AGRICER
Vagem,7.59,AGRICER
"Acucar Refinado ""Caravelas""",6.99,AGRICER
Acucar Refinado   ( + Barato ),6.99,AGRICER
"Manteiga ""Batavo""    ( + Barato )",6.98,AGRICER
Frango Pedaço Peito c/osso resf.,6.98,AGRICER
"Farinha de Trigo Especial ""Anaconda""",6.98,AGRICER
"PANETONE ""NINO""  c/ FRUTAS",6.98,AGRICER
Farinha de Trigo Especial   ( + Barato ),6.98,AGRICER
PANETONE C/FRUTAS PREMIUM `SANTA EDWIGES,6.98,AGRICER
"PANETTONE C/ GOTAS DE CHOCOLATE""ARCOR""",6.98,AGRICER
Carne Suina Fresca Bisteca,6.98,AGRICER
"CHOCOTTONE C/ GOTAS CHOCOLATE ""BAUDUCCO""",6.95,AGRICER
Leite em Po Integral Instant. (+Barato),6.95,AGRICER
PANETTONE C/GOTAS CHOC.CLASSIC NESTLÉ,6.89,AGRICER
"Cafe  Almofada  ""Damasco""",6.89,AGRICER
"PANETTONE ALPINO GATEAU ""NESTLÉ""",6.89,AGRICER
"Cafe  Vacuo ""Pilao""",6.89,AGRICER
"Cafe  Almofada  ""3 Coracoes""",6.59,AGRICER
Acucar Cristal     ( + Barato ),6.58,AGRICER
Doce em Calda Abacaxi    ( + Barato ),6.49,AGRICER
Salsicha Tipo Vina Light- Peito de Peru,5.99,AGRICER
"PANETONE C/FRUTAS ""SANTA EDWIGES""",5.99,AGRICER
DETERGENTE LIQUIDO + BARATO,5.99,AGRICER
Pao Frances,5.99,AGRICER
GOIABADA (+ BARATO ) EXCETO CASCAO,5.98,AGRICER
"Detergente em Po ""Brilhante""",5.98,AGRICER
Mamao Papaya,5.98,AGRICER
Doce em Calda Pessego  ( + Barato ),5.95,AGRICER
"Shampoo ""Palmolive""    ( + Barato )",5.79,AGRICER
"Shampoo ""Seda""          ( + Barato )",5.75,AGRICER
"Sabao em Barra ""Ype""",5.69,AGRICER
"CAFE  ALMOFADA  ""BOM TAI""",5.68,AGRICER
"PANETTONE C/ FRUTAS ""NESTLÉ""",5.68,AGRICER
"PANETTONE C/ DOCE LEITE CREMOSO ""NESTLE""",5.68,AGRICER
"Cafe  Almofada  ""Alvorada"" Tradicional",5.68,AGRICER
"Sabao em Barra ""Minuano""",5.29,AGRICER
Doce em Calda Figo         ( + Barato ),4.99,AGRICER
"Refrigerante Descartavel  ""Coca Cola""",4.98,AGRICER
Oleo de Canola  ( + Barato ),4.98,AGRICER
"Amaciante de Roupa ""Mon Bijou""",4.89,AGRICER
"Amido de Milho ""Maizena""",4.89,AGRICER
Cafe  Almofada   ( + Barato ),4.88,AGRICER
"PANETTONE C/DOCE L MOCA GATEAU ""NESTLE""",4.88,AGRICER
Sabao em Barra   ( + Barato ),4.85,AGRICER
Frango Inteiro Congelado   ( + Barato ),4.79,AGRICER
"PANETTONE C/ GOTAS DE CHOCOLATE""PARATI""",4.79,AGRICER
AMACIANTE DE ROUPA  BABY SOFT,4.69,AGRICER
"PANETTONE PACOCA/TRUF/D.LEITE/BRIG""ARCOR",4.69,AGRICER
Frango Pedaço Coxa-sobrecoxa resf.,4.69,AGRICER
"SHAMPOO ""SUAVE""    ( + BARATO )",4.65,AGRICER
Salsicha Tipo Vina  ( + Barato ),4.65,AGRICER
"Detergente em Po ""Surf""",4.59,AGRICER
Alcool Gel   ( + Barato ),4.58,AGRICER
Farinha Lactea    ( + Barato),4.54,AGRICER
Batata Salsa,4.49,AGRICER
"Maionese Comum  ""Hellmans""",4.48,AGRICER
"Refrigerante Descartavel  ""Pepsi Cola""",4.45,AGRICER
Papel Hig. Folha Dupla Picotada +Barato,4.4,AGRICER
"PANETTONE MAIS CHOCOLATE""VISCONTI""",4.4,AGRICER
"Fermento Seco Biologico ""Alto Vacuo""",4.25,AGRICER
Salsichao Rosa        ( + Barato ),3.99,AGRICER
"PANETONE C/GOTAS DE CHOC.""SANTA EDWIGES""",3.99,AGRICER
"Doce de Leite   ""Frimesa"" ( + Barato )",3.99,AGRICER
"MARGARINA ""VIGOR"" CREMOSA",3.99,AGRICER
SHAMPOO MONANGE    ( + BARATO ),3.99,AGRICER
Oleo de Milho    ( + Barato ),3.99,AGRICER
Sagu   ( + Barato ),3.99,AGRICER
"Feijao Carioquinha ""Caldo Bom""",3.99,AGRICER
Cha Mate P/ Infusao Tostado,3.99,AGRICER
"Feijao Preto  ""Caldo Bom""",3.98,AGRICER
"Achocolatado em Po ""Nescau""",3.98,AGRICER
"Leite Condensado ""Nestle""",3.9,AGRICER
CHOCOTTONE BAUDUCCO,3.9,AGRICER
"Amaciante de Roupa ""Ype""",3.79,AGRICER
"Sopao ""Maggi"" ( + Barato )",3.79,AGRICER
Far. de Mandioca Torrada Extra (+Barato),3.79,AGRICER
Cera Liquida  ( + Barato ),3.65,AGRICER
"Margarina ""Qualy ""   Cremosa",3.59,AGRICER
"Absorvente Ader.""Sempre Livre""  C/Abas",3.59,AGRICER
Far. de Mandioca Crua/Branca (+Barato),3.59,AGRICER
"Refrigerante Desc. ""Guarana Antartica""",3.49,AGRICER
MARGARINA CLAYBOM  CREMOSA,3.49,AGRICER
"Desinfetante ""Pinho Sol""",3.49,AGRICER
Amido de Milho   ( + Barato ),3.4,AGRICER
MAIONESE LIGHT + BARATO,3.39,AGRICER
"Biscoito Amanteigado ""Marilan""",3.35,AGRICER
"Biscoito Maisena  ""Marilan""",3.35,AGRICER
Amaciante de Roupa   ( + Barato ),3.29,AGRICER
Biscoito Waffer Recheado Diet (+ barato),3.29,AGRICER
Suco/Nectar Light  (Tetra Park) + Barato,3.29,AGRICER
Cebola,3.29,AGRICER
Detergente em Po   ( + Barato ),3.05,AGRICER
Mistura P/ Pao Integral ( + Barato ),3.0,AGRICER
Suco a Base de Soja  ( + Barato ),2.99,AGRICER
"Refrigerante Descartavel ""C I N I """,2.99,AGRICER
"Margarina ""Doriana "" Cremosa",2.99,AGRICER
"Margarina ""Delicia ""  Cremosa",2.99,AGRICER
Achocolatado em Po ( + Barato),2.98,AGRICER
Maca  Nacional ( + Barata),2.98,AGRICER
Adoçante Em Po/ Acucar Light,2.94,AGRICER
"Iogurte   Bandeja ""Batavo""",2.89,AGRICER
Macarrao C/ Ovos  Aletria ( + Barato ),2.89,AGRICER
Mamao Comum,2.89,AGRICER
Abacaxi Hawai,2.88,AGRICER
Brocolis,2.85,AGRICER
Suco/Nectar  (Tetra Park) + Barato,2.79,AGRICER
Cafe  Soluvel  ( + Barato ),2.79,AGRICER
"Sabonete ""Phebo""",2.79,AGRICER
"Desinfetante ""Pinho Bril""",2.79,AGRICER
"Extrato de Tomate ""Cica Elefante""",2.79,AGRICER
Ovos Tipo Grande Branco    ( + Barato ),2.79,AGRICER
Abacate,2.79,AGRICER
"Filtro de Cafe ""103"" ( + Barato )",2.78,AGRICER
PANETONE GOTAS MEIO AMARGO E GAMBERRY,2.78,AGRICER
Macarrao C/ Ovos  Ninho ( + Barato ),2.69,AGRICER
Farinha de Milho Branca      (+ Barato),2.69,AGRICER
Feijao Preto Tipo 1  ( + Barato ),2.69,AGRICER
"Multi-Uso ""Veja""",2.69,AGRICER
"Leite Condensado ""Frimesa""",2.69,AGRICER
Feijao Carioquinha  Tipo 1  ( + Barato ),2.69,AGRICER
Biscoito Rosquinha  ( + Barato  ),2.69,AGRICER
"CHOCOTTONE C/GOTAS DE CHOC. ""BAUDUCCO""",2.69,AGRICER
Farinha de Milho Amarela    (+ Barato),2.59,AGRICER
Refrigerante Descartavel  ( + Barato ),2.58,AGRICER
"Biscoito Salgado ""Club Social"" (+barato)",2.49,AGRICER
Farinha de Trigo Integral   ( + Barato ),2.49,AGRICER
Rabanete,2.49,AGRICER
PANETONE GO MEIO AMARGO AMENDOAS DAMASCO,2.49,AGRICER
Requeijao Cremoso   ( + Barato ),2.49,AGRICER
"Cha Mate ""Leao""",2.49,AGRICER
Doce Cremoso     ( + Barato ),2.48,AGRICER
"Filtro de Cafe ""102""   ( + Barato )",2.48,AGRICER
"PANETTONE PRESTÍGIO ""NESTLÉ""",2.48,AGRICER
Pimentao Verde,2.48,AGRICER
"Biscoito Maria ""Todeschini""",2.39,AGRICER
Biscoito Maisena   (+ Barato ),2.39,AGRICER
Sardinha   ( + Barato ),2.39,AGRICER
"Sardinha  ""Coqueiro""",2.39,AGRICER
Biscoito Cream Craker  (+ Barato ),2.39,AGRICER
Biscoito Agua e Sal   (+ Barato ),2.39,AGRICER
Doce de Leite   ( + Barato ),2.39,AGRICER
"Biscoito Cream Craker ""Todeschini""",2.35,AGRICER
Fuba Branco       (+ Barato ),2.3,AGRICER
AGUA SANITARIA  YPE PLASTICO,2.29,AGRICER
"Creme Dental ""Colgate"" ( + Barato )",2.29,AGRICER
Catchup  Tradicional   ( + Barato ),2.25,AGRICER
EXTRATO DE TOMATE  QUERO,2.25,AGRICER
"Agua Sanitaria  ""Q-Boa""  Plastico",2.19,AGRICER
Couve Flor,2.19,AGRICER
Banana Prata,2.19,AGRICER
"Biscoito Maisena ""Todeschini""",2.18,AGRICER
Polpa de Tomate    ( + Barato ),2.09,AGRICER
Maionese Comum   ( + Barato ),2.04,AGRICER
Queijo Parmesao Ralado     ( + Barato ),1.99,AGRICER
Fosforo   ( + Barato ),1.99,AGRICER
Biscoito Maria  ( + Barato ),1.99,AGRICER
"Macarrao C/ Ovos ""Renata""   Espag.",1.99,AGRICER
Macarrao C/ Ovos  Conchinha ( + Barato ),1.99,AGRICER
Mistura para Bolo  ( + Barato ),1.99,AGRICER
"Cerveja ""Brahma""",1.99,AGRICER
Abobora Menina,1.98,AGRICER
"Cerveja ""Bohemia""",1.98,AGRICER
Melao Amarelo,1.98,AGRICER
Fuba Amarelo     ( + Barato ),1.98,AGRICER
SABONETE  PROTEX,1.98,AGRICER
Limao,1.97,AGRICER
"Macarrao C/ Ovos ""Todeschini""   Espag.",1.95,AGRICER
Arroz Parboilizado Tipo 1   ( + Barato ),1.89,AGRICER
PANETTONE BAUDUCCO,1.89,AGRICER
Leite Condensado ( + Barato ),1.89,AGRICER
Beterraba,1.89,AGRICER
Macarrao C/ Ovos Penne  ( + Barato ),1.89,AGRICER
Tempero Completo  ( + Barato ),1.89,AGRICER
Cenoura,1.88,AGRICER
CHOCOTTONE GOTAS E LARANJA `BAUDUCO`,1.86,AGRICER
"Leite Pasteurizado Tipo ""C"" ( + Barato )",1.86,AGRICER
Milho Pipoca T1 - Classe Amarela,1.85,AGRICER
Oleo de Soja     ( + Barato ),1.79,AGRICER
Iogurte   Bandeja  ( + Barato ),1.79,AGRICER
Margarina Cremosa    ( + Barato ),1.79,AGRICER
Tomate,1.79,AGRICER
"Cerveja ""Skol""",1.79,AGRICER
Multi-Uso  ( + Barato ),1.79,AGRICER
"Cerveja ""Antartica""",1.79,AGRICER
Acelga,1.79,AGRICER
Couve Manteiga,1.79,AGRICER
"Batata  ""Lavada""    ( + Barato )",1.79,AGRICER
Agua Sanitaria   ( + Barato ),1.75,AGRICER
CHOCOTTONE SNICKRES `BAUDUCO`,1.75,AGRICER
CHOCOTTONE SNICKERS `BAUDUCCO`,1.75,AGRICER
CHOCOTTONE OVOMALTINE `BAUDUCO`,1.75,AGRICER
Leite Longa Vida  Int.   ( + Barato ),1.75,AGRICER
Leite Longa Vida Des.   ( + Barato ),1.75,AGRICER
Absorvente Ader. C/Abas.  ( + Barato ),1.69,AGRICER
Agriao,1.69,AGRICER
Molho de Tomate  Pomarola,1.69,AGRICER
Macarrao C/ Ovos Espaguete  ( + Barato ),1.69,AGRICER
Macarrao C/ Ovos Parafuso  ( + Barato ),1.69,AGRICER
Repolho,1.68,AGRICER
Acucar Refinado  ( + Barato ),1.68,AGRICER
Vinagre de Vinho  ( + Barato ),1.65,AGRICER
Banana Caturra,1.59,AGRICER
"Sabonete ""Dove"" Tradicional",1.59,AGRICER
"Abobrinha ""Verde""",1.59,AGRICER
Saco Plast. P/lixo 10 um (+ Barato),1.58,AGRICER
Adocante   ( + Barato ),1.55,AGRICER
Farinha de Trigo Especial  (+ Barato),1.49,AGRICER
Rucula,1.49,AGRICER
"Biscoito Recheado ""Trakinas""",1.49,AGRICER
Fermento em Po Quimico   ( + Barato ),1.49,AGRICER
Creme de Leite   ( + Barato ),1.49,AGRICER
"Creme Dental ""Close-Up""   ( + Barato )",1.49,AGRICER
"PANETTONE C/ FRUTAS ""VISCONTI""",1.49,AGRICER
PANETTONE C/ FRUTAS BAUDUCCO,1.49,AGRICER
Extrato de Tomate    ( + Barato ),1.46,AGRICER
Aipim,1.39,AGRICER
Iogurte   Natural ( + Barato ),1.39,AGRICER
"Biscoito Recheado ""Bono""",1.39,AGRICER
CHOCOTTONE FRUTAS VERMELHAS `BAUDUCO`,1.39,AGRICER
Gelatina Diet,1.39,AGRICER
Polentina Instantanea   ( + Barato ),1.38,AGRICER
Pepino,1.38,AGRICER
"Detergente Liquido ""Ype""",1.37,AGRICER
"Detergente Liquido ""Limpol""",1.35,AGRICER
Vinagre de Alcool  ( + Barato),1.29,AGRICER
"Cerveja ""Kaiser""",1.28,AGRICER
"Caldo de Carne / Galinha ""Knorr""",1.2,AGRICER
"Sabonete ""Lux"" Suave",1.15,AGRICER
"Sabonete ""Palmolive"" Suave",1.09,AGRICER
"PANETTONE C/ GOTAS DE CHOC. ""VISCONTI""",1.07,AGRICER
"Creme Dental ""Sorriso"" ( + Barato )",1.07,AGRICER
"Espoja La de Aço ""Bom - Bril""",1.0,AGRICER
"Detergente Liquido ""Minuano""",1.0,AGRICER
Detergente Liquido   ( + Barato ),0.99,AGRICER
Biscoito Waffer  ( + Barato ),0.99,AGRICER
Ervilha em Conserva   ( + Barato ),0.99,AGRICER
Milho Verde em Conserva  ( + Barato ),0.99,AGRICER
Abobora Moranga,0.99,AGRICER
"Caldo de Carne / Galinha ""Maggi""",0.99,AGRICER
Pate     ( + Barato ),0.99,AGRICER
Po para Pudim  ( + Barato ),0.98,AGRICER
Sal Refinado    (  + Barato  ),0.98,AGRICER
Batata Doce   ( + Barato ),0.97,AGRICER
Chuchu,0.97,AGRICER
Cheiro Verde,0.95,AGRICER
Espoja La de Aço  ( + Barato ),0.95,AGRICER
"Sabonete ""Francis""",0.95,AGRICER
Biscoito Recheado  ( + Barato ),0.89,AGRICER
Molho de Tomate  (  + Barato  ),0.89,AGRICER
Melancia,0.89,AGRICER
Laranja Pera,0.89,AGRICER
Alface,0.88,AGRICER
"Po para Refresco ""Tang""",0.75,AGRICER
Macarrao Instantaneo   ( + Barato ),0.69,AGRICER
Steak Empanado de Frango,0.69,AGRICER
Gelatina ( + Barato ),0.69,AGRICER
"Gelatina ""Royal""",0.69,AGRICER
"PANETONE C/FRUTAS ESP. ""SANTA EDWIGES""",0.69,AGRICER
"PANETONE GOTAS BELGA ""SANTA EDWIGES""",0.68,AGRICER
Hamburguer Bovino,0.68,AGRICER
"Po para Refresco ""Nutrinho""",0.68,AGRICER
Po para Refresco  ( + Barato ),0.35,AGRICER
